
Traditional Range Search 
1048094 755.24 449.04 
1046427 755.24 435.59 
1048616 755.24 441.70 
1048619 755.24 436.81 
1049665 755.24 447.82 
1048622 755.33 436.00 
1049664 755.52 446.80 
1049688 755.52 446.80 
1048618 755.61 438.65 
1048614 755.70 439.87 
1049681 755.79 445.98 
1049677 755.79 447.82 
1048623 755.88 437.83 
1048624 755.88 437.63 
1048106 755.98 449.25 
1049680 756.16 446.39 
1046432 756.25 435.39 
1046433 756.34 435.59 
1049683 756.34 444.56 
1049678 756.53 447.00 
1046849 754.87 428.86 
1046845 756.34 429.07 
1046825 755.42 429.47 
1046824 755.42 429.68 
1046844 756.07 429.68 
1047894 750.74 429.68 
1047893 750.00 429.88 
1047892 750.55 430.09 
1046823 754.60 430.29 
1047891 750.28 430.70 
1047890 751.01 430.70 
1047889 749.54 430.90 
1046431 755.42 431.51 
1046674 753.59 431.51 
1049564 746.87 431.51 
1046445 756.34 431.51 
1047885 750.18 431.92 
1049563 746.69 431.92 
1047877 747.98 432.12 
1046430 755.24 432.53 
1047884 750.46 432.53 
1049562 746.87 432.74 
1046440 755.88 432.74 
1047878 748.90 432.74 
1046673 754.51 432.94 
1047883 751.10 432.94 
1046672 751.84 432.94 
1049551 745.31 433.14 
1046429 755.61 433.35 
1047879 749.72 433.35 
1047882 751.10 433.55 
1047899 747.98 433.55 
1047881 750.92 433.55 
1047900 747.98 433.55 
1047898 747.98 433.55 
1047896 747.98 433.55 
1047897 747.98 433.55 
1047901 747.98 433.55 
1047880 750.28 433.96 
Complementary Objects:
Statistics
pload:	 9	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.029000

Traditional Range Search 
Point: (621.53,270.12)
Range: 37.91
Result Objects:
1013156 591.67 284.96 
1013155 591.76 284.96 
1013154 591.76 284.96 
1013153 591.76 285.16 
1013133 592.68 273.34 
1013150 593.14 279.86 
1013131 593.97 275.17 
1013151 594.70 273.13 
1067426 599.21 282.92 
1067427 601.23 285.36 
1067428 602.89 285.77 
1067395 605.74 284.55 
1067406 606.20 301.88 
1067407 606.56 303.91 
1067403 606.56 303.91 
1067404 606.66 303.91 
1067405 607.85 303.51 
1067396 609.78 299.02 
1067490 611.99 282.72 
1067489 612.91 291.07 
1067381 615.12 300.45 
1067379 615.39 301.67 
1067380 615.39 301.67 
1067385 615.67 300.65 
1067382 615.85 300.65 
1067384 616.31 299.84 
1067383 616.59 299.63 
1067388 619.71 291.89 
1067386 620.72 287.00 
1067387 621.18 287.61 
1091945 625.14 280.07 
1091944 625.14 279.86 
1091947 625.23 279.86 
1091946 625.32 279.86 
1091943 626.43 277.42 
1067643 627.07 302.69 
1067642 627.07 302.69 
1067641 627.16 302.69 
1067631 627.25 306.16 
1067640 627.25 304.12 
1067633 627.53 306.16 
1067634 627.53 306.16 
1067632 627.53 306.16 
1067636 628.54 305.54 
1067635 628.54 305.75 
1067659 628.63 305.75 
1067644 629.92 301.88 
1067661 630.29 305.75 
1067638 630.56 305.54 
1067646 631.02 302.28 
1067637 631.11 306.56 
1067645 631.48 302.69 
1093093 631.76 280.07 
1067639 631.85 304.53 
1067660 631.85 304.53 
1067647 632.59 298.82 
1067248 633.32 305.75 
1093091 634.42 284.96 
1093092 634.42 284.96 
1093094 636.17 267.43 
1067394 637.83 288.01 
1094724 639.11 245.21 
1094725 639.11 248.27 
1067392 641.96 289.85 
1067389 641.96 299.23 
1067391 643.07 290.46 
1093234 644.17 256.62 
1093233 644.17 256.62 
1067393 644.81 290.87 
1093235 644.91 256.83 
1067390 645.27 292.30 
1094839 646.19 282.92 
1094838 646.29 282.72 
1094846 647.30 272.32 
1094845 647.30 272.32 
1094843 647.30 272.32 
1094844 647.30 272.32 
1090963 647.39 251.32 
1094833 647.76 265.59 
1094835 647.76 265.59 
1094834 647.76 265.59 
1094836 647.94 265.80 
1094847 648.58 266.41 
1094848 648.58 266.41 
1094840 649.96 274.15 
1094841 649.96 274.15 
1094842 650.15 274.36 
1094837 650.15 274.36 
1096079 650.97 275.38 
1096077 650.97 275.38 
1096078 650.97 275.38 
1096081 650.97 275.38 
1096080 650.97 275.17 
1096083 654.56 277.42 
1096082 654.56 277.62 
1096084 654.56 277.42 
1096074 655.94 272.73 
1096073 655.94 272.73 
1096075 655.94 272.73 
1096070 655.94 272.93 
1096071 655.94 272.73 
1096072 655.94 272.73 
1096076 656.12 272.32 
1013146 586.89 277.21 
1013164 586.89 280.07 
1013159 587.16 279.05 
1013158 587.16 279.05 
1013145 587.16 277.42 
1013144 587.16 277.01 
1013135 587.35 285.57 
1013142 587.44 277.42 
1013136 587.44 285.57 
1013138 587.44 285.57 
1013137 587.44 285.57 
1013157 587.44 285.77 
1013143 587.44 277.21 
1013134 587.53 285.36 
1013160 587.53 285.57 
1013161 587.53 285.57 
1013149 587.62 286.38 
1013139 587.62 286.18 
1013162 587.90 277.21 
1013141 588.18 284.35 
1013140 588.27 284.35 
1013148 588.82 273.54 
1013163 589.65 280.47 
1013132 590.66 272.73 
1013130 590.84 273.95 
1013128 590.93 273.75 
1013129 590.93 273.95 
1013152 590.93 273.54 
1013127 591.30 274.56 
1013147 591.39 291.89 
Complementary Objects:
Statistics
pload:	 4	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.016000

Traditional Range Search 
Point: (461.60,576.03)
Range: 30.73
Result Objects:
1103234 475.27 582.35 
1103235 474.53 582.35 
1103232 474.26 582.35 
1103219 480.69 582.55 
1103236 475.45 582.55 
1103440 491.36 582.55 
1103237 475.36 582.96 
1103233 474.35 584.18 
1103223 478.21 586.22 
1103275 479.40 587.04 
1103287 478.12 587.24 
1103271 477.20 587.85 
1103274 477.20 588.06 
1103393 475.45 589.07 
1103272 477.47 589.48 
1103273 477.47 589.48 
1103391 474.35 590.71 
1103270 474.81 590.71 
1103269 474.81 590.71 
1103284 475.27 595.39 
1103278 474.90 596.41 
1103285 475.08 596.41 
1103286 474.99 596.41 
1103282 474.90 596.41 
1103277 474.71 596.41 
1103276 474.81 596.62 
1103279 474.81 596.62 
1103281 474.99 596.82 
1103280 474.99 597.02 
1103283 475.73 597.23 
1074553 473.80 552.18 
1074229 474.62 554.42 
1074235 475.91 554.83 
1074236 475.91 554.83 
1074238 475.91 554.83 
1074237 476.00 554.83 
1074230 474.53 555.03 
1074225 473.98 555.03 
1074231 474.90 555.24 
1074224 473.89 555.65 
1074234 475.45 555.65 
1074232 474.53 555.85 
1074233 476.00 556.05 
1074221 476.74 556.46 
1074222 477.38 556.87 
1074217 480.23 558.30 
1074219 480.14 558.50 
1074220 476.55 558.50 
1074218 480.14 558.50 
1074569 476.00 562.17 
1074336 483.91 562.78 
1103197 487.40 564.00 
1103072 476.19 564.21 
1103073 476.09 564.41 
1074335 484.55 564.61 
1103070 475.45 564.82 
1074334 484.00 565.02 
1103071 475.36 565.02 
1074330 484.19 565.02 
1074331 484.09 565.02 
1074617 486.58 565.02 
1074332 484.28 565.23 
1074328 484.28 565.43 
1074329 484.19 565.43 
1103324 480.97 565.43 
1074333 484.09 565.43 
1103325 480.97 565.43 
1103326 480.97 565.43 
1103196 486.48 565.43 
1103194 484.65 566.04 
1103193 484.65 566.04 
1103195 484.65 566.04 
1103327 481.52 566.04 
1103069 475.45 566.25 
1103075 475.45 566.25 
1103192 484.55 566.25 
1103076 476.74 566.25 
1103191 484.46 566.25 
1103068 475.45 566.45 
1103074 475.54 566.45 
1103064 474.81 566.65 
1103323 483.08 566.65 
1103204 489.98 566.65 
1103203 489.98 566.65 
1103058 473.80 566.65 
1103063 474.44 566.65 
1103067 476.00 567.06 
1103062 474.62 567.47 
1103188 484.65 567.47 
1103190 487.68 567.88 
1103209 490.71 567.88 
1103189 487.68 567.88 
1103206 490.71 568.08 
1103205 490.71 568.08 
1103210 490.71 568.08 
1103207 490.71 568.08 
1103208 490.81 568.08 
1103211 490.71 568.28 
1103061 474.90 568.28 
1103060 474.62 568.49 
1103065 476.09 568.90 
1103066 476.19 568.90 
1103049 474.71 569.51 
1103050 475.82 569.71 
1103046 474.16 569.71 
1103051 475.73 569.91 
1103045 473.98 570.12 
1103048 474.53 570.32 
1103187 484.65 571.14 
1103185 484.28 571.55 
1103186 484.28 571.55 
1103198 484.28 571.75 
1103200 486.39 571.95 
1103199 486.39 571.95 
1103436 491.63 578.88 
1103435 491.54 578.88 
1103430 491.63 579.49 
1103431 491.54 579.49 
1074441 463.31 545.86 
1074584 467.73 546.07 
1074583 466.62 546.07 
1074529 472.69 547.49 
1074522 472.60 547.70 
1074521 471.96 548.10 
1074550 471.86 548.10 
1074520 471.86 548.72 
1074574 467.18 549.12 
1074579 468.28 549.74 
1074580 467.91 549.74 
1074578 468.19 549.74 
1074576 467.91 549.94 
1074577 467.91 549.94 
1074518 472.14 550.55 
1074582 469.47 550.55 
1074581 469.11 550.75 
1074547 472.88 550.96 
1074575 467.64 550.96 
1074552 472.60 551.57 
1074573 469.57 551.57 
1074545 471.86 551.98 
1074572 468.37 552.18 
1074571 465.15 552.59 
1074570 465.15 552.59 
1074241 473.61 552.79 
1074546 473.06 552.79 
1074639 465.06 553.00 
1074239 473.15 553.40 
1074240 473.06 553.40 
1074646 468.92 553.40 
1074638 464.14 553.40 
1074544 472.97 553.40 
1074641 468.83 553.61 
1074640 468.83 553.61 
1074223 472.97 554.02 
1074543 472.05 554.22 
1074227 473.34 554.42 
1074228 473.61 554.42 
1074636 468.19 554.63 
1074226 473.06 554.83 
1074542 472.88 555.03 
1074541 472.51 555.03 
1074551 470.95 555.65 
1074540 472.14 555.85 
1074539 472.97 555.85 
1074597 462.76 555.85 
1074519 472.97 556.05 
1074538 472.97 556.05 
1074637 469.66 556.26 
1074635 469.93 557.07 
1074632 469.11 557.28 
1074644 471.04 557.28 
1074630 469.11 557.28 
1074634 469.01 557.28 
1074647 469.11 557.28 
1074631 469.11 557.28 
1074645 470.95 557.28 
1074633 469.01 557.28 
1074643 471.22 557.68 
1074642 470.85 558.09 
1074628 469.01 558.09 
1074629 468.92 558.30 
1074627 469.01 558.30 
1074624 470.03 559.93 
1074596 463.22 560.33 
1074594 463.13 560.54 
1074591 463.04 560.54 
1074592 463.04 560.54 
1074593 463.41 560.54 
1074595 463.22 560.54 
1074625 471.22 561.56 
1074623 468.74 563.19 
1074622 468.37 564.00 
1074620 469.20 564.82 
1074619 468.00 565.84 
1103057 473.61 565.84 
1074621 469.93 566.04 
1103055 473.34 566.65 
1103056 473.34 566.65 
1103054 473.52 567.47 
1103053 473.15 567.88 
1074262 472.05 567.88 
1103059 473.61 568.08 
1103052 473.06 568.08 
1074261 472.32 568.69 
1074260 471.86 568.90 
1103047 473.34 569.10 
1074250 465.70 569.30 
1103077 473.15 570.12 
1074259 471.50 570.32 
1074258 471.22 570.93 
1074257 471.31 571.55 
1074255 467.27 574.19 
1074254 467.27 574.40 
1074253 464.69 574.81 
1103078 471.59 577.25 
1103394 465.24 578.88 
1103241 472.32 581.13 
1103242 472.32 581.13 
1103240 471.96 581.33 
1103239 471.40 581.53 
1103238 471.50 581.53 
1103225 471.31 581.94 
1103224 471.77 582.14 
1103262 466.07 582.55 
1103230 472.32 582.76 
1103218 469.47 582.76 
1103261 465.61 583.16 
1103231 473.34 583.37 
1103227 471.59 583.37 
1103228 471.59 583.37 
1103226 471.04 584.18 
1103229 470.95 584.39 
1103212 468.37 584.59 
1103213 468.19 584.59 
1103217 470.12 584.59 
1103216 470.49 584.79 
1103221 471.31 584.79 
1103222 471.22 584.79 
1103215 470.49 585.00 
1103258 464.51 585.41 
1103259 464.33 585.41 
1103257 464.60 585.41 
1103220 471.04 586.42 
1103214 470.49 586.83 
1103389 470.58 587.65 
1103388 470.39 587.85 
1103385 469.29 588.26 
1103386 469.93 588.26 
1103151 469.20 588.26 
1103390 469.84 588.46 
1103387 469.84 588.46 
1103150 465.34 588.46 
1103154 468.55 588.67 
1103392 471.50 588.67 
1103153 468.55 588.67 
1103152 468.55 588.87 
1103384 470.58 590.09 
1103149 467.91 590.91 
1103148 467.73 591.11 
1103147 467.73 591.32 
1103146 464.33 591.32 
1103145 464.23 591.52 
1103162 466.72 592.13 
1103163 466.81 592.13 
1103160 463.13 593.36 
1103161 463.59 593.97 
1103251 468.65 598.45 
1103250 469.38 600.08 
1103249 469.38 600.29 
1074435 462.30 545.66 
1074436 462.30 545.66 
1074423 461.29 549.94 
1074419 461.38 550.14 
1074434 461.57 550.75 
1074420 461.47 550.75 
1074421 461.47 550.96 
1074422 461.47 550.96 
1074590 462.30 562.58 
1074589 462.49 565.84 
1074251 461.84 567.88 
1074242 461.84 569.51 
1074243 461.93 569.51 
1074244 462.21 571.34 
1074245 462.21 571.34 
1074249 462.21 571.55 
1074248 462.21 571.55 
1074246 462.21 571.55 
1074247 462.21 571.55 
1074256 462.21 572.16 
1074252 461.93 575.83 
1103260 462.58 582.14 
1103264 461.29 582.76 
1103263 460.74 587.65 
1103159 460.74 587.85 
1103158 460.56 589.69 
1103156 459.91 594.37 
1103157 460.00 594.37 
1103155 459.73 596.21 
1103164 461.84 596.82 
Complementary Objects:
Statistics
pload:	 6	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.028000

Traditional Nearest Neighbor Search 
Point: (720.09,769.51)
Items: 11
Result Objects:
1045287 727.38 640.03 
1045285 729.40 639.22 
1045212 714.88 632.29 
1065652 707.52 632.29 
1065650 707.43 632.29 
1045210 711.38 631.88 
1045236 707.71 632.08 
1065651 707.52 632.08 
1065648 703.02 632.29 
1045895 723.52 631.27 
1045894 719.29 630.86 
Complementary Objects:
Statistics
pload:	 6	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.030000

Traditional Nearest Neighbor Search 
Point: (743.34,606.30)
Items: 10
Result Objects:
1045109 742.83 605.38 
1045108 740.62 607.22 
1045106 745.77 607.83 
1045922 746.23 605.59 
1045923 746.23 605.59 
1045105 740.44 608.03 
1045112 742.83 602.53 
1045993 746.87 607.83 
1045111 740.25 603.95 
1045107 739.43 607.22 
Complementary Objects:
Statistics
pload:	 4	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.065000

Traditional Window Search 
Lower Point: (377.39,203.46)
Upper Point: (435.40,261.48)
Result Objects:
Complementary Objects:
Statistics
pload:	 3	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.009000

Traditional Window Search 
Lower Point: (606.32,136.05)
Upper Point: (675.71,205.44)
Result Objects:
Complementary Objects:
Statistics
pload:	 2	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.004000

Traditional Nearest Neighbor Search 
Point: (209.15,646.02)
Items: 54
Result Objects:
1000001 157.96 831.02 
1000000 0.00 697.92 
1000003 212.49 867.10 
1000007 359.14 810.84 
1000002 362.36 825.93 
1000004 221.13 891.77 
1103043 455.77 619.85 
1103040 456.60 615.78 
1103037 458.62 617.81 
1103038 458.62 617.81 
1103032 457.98 611.50 
1103041 457.98 611.50 
1103031 457.98 611.29 
1103033 457.98 611.29 
1103034 457.98 611.29 
1103042 458.16 611.50 
1103039 459.08 617.61 
1103155 459.73 596.21 
1103156 459.91 594.37 
1103157 460.00 594.37 
1103164 461.84 596.82 
1103158 460.56 589.69 
1103159 460.74 587.85 
1103263 460.74 587.65 
1103160 463.13 593.36 
1103161 463.59 593.97 
1103264 461.29 582.76 
1103044 467.91 614.35 
1103145 464.23 591.52 
1103146 464.33 591.32 
1103293 469.29 624.75 
1103036 468.55 614.55 
1103260 462.58 582.14 
1103294 470.30 622.91 
1103035 469.57 615.37 
1103259 464.33 585.41 
1103296 470.49 623.32 
1074252 461.93 575.83 
1103295 470.58 623.32 
1103258 464.51 585.41 
1103257 464.60 585.41 
1103150 465.34 588.46 
1103162 466.72 592.13 
1103288 471.59 626.58 
1103289 471.59 626.58 
1103297 471.59 626.58 
1103163 466.81 592.13 
1103292 471.40 622.10 
1103290 471.50 623.11 
1000009 118.24 893.40 
1074256 462.21 572.16 
1103291 471.96 623.73 
1074246 462.21 571.55 
1074247 462.21 571.55 
Complementary Objects:
Statistics
pload:	 5	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.090000

Traditional Window Search 
Lower Point: (575.78,420.75)
